Info 0    [12:39:47.005] Starting TS Server
Info 1    [12:39:47.006] Version: 5.2.2
Info 2    [12:39:47.006] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/1bec5ddd2662f3772042d67c85bae2c0/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-6IoGak/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [12:39:47.006] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [12:39:47.006] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [12:39:47.010] Format host information updated
Info 6    [12:39:47.014] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [12:39:47.314] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 299.23267000028864ms
Info 8    [12:39:47.314] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [12:39:47.314] 	Files (8)

Info 10   [12:39:47.314] -----------------------------------------------
Info 11   [12:39:47.314] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [12:39:47.314] 	Files (8)

Info 11   [12:39:47.314] -----------------------------------------------
Info 11   [12:39:47.314] Open files: 
Info 11   [12:39:47.314] 	FileName: /home/orion/src/purescript-puppeteer/.spago/web-events/v4.0.0/src/Web/Internal/FFI.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [12:39:47.314] 		Projects: /dev/null/inferredProject1*
Info 11   [12:39:47.834] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [12:39:47.834] 	Files (8)

Info 11   [12:39:47.834] -----------------------------------------------
Info 11   [12:39:47.834] Open files: 
Info 11   [12:39:52.376] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [12:39:52.382] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 5.71047000028193ms
Info 13   [12:39:52.382] Project '/dev/null/inferredProject1*' (Inferred)
Info 14   [12:39:52.382] 	Files (8)

Info 15   [12:39:52.382] -----------------------------------------------
Info 16   [12:39:52.382] Project '/dev/null/inferredProject1*' (Inferred)
Info 16   [12:39:52.382] 	Files (8)

Info 16   [12:39:52.382] -----------------------------------------------
Info 16   [12:39:52.382] Open files: 
Info 16   [12:39:52.382] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.FFI.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 16   [12:39:52.382] 		Projects: /dev/null/inferredProject1*
Info 16   [12:39:52.382] Format host information updated
Info 17   [12:40:14.253] Project '/dev/null/inferredProject1*' (Inferred)
Info 17   [12:40:14.253] 	Files (8)

Info 17   [12:40:14.253] -----------------------------------------------
Info 17   [12:40:14.253] Open files: 
Info 17   [12:46:24.278] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [12:46:24.279] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Not Elapsed: 0.37063599983230233ms
Info 19   [12:46:24.279] Project '/dev/null/inferredProject1*' (Inferred)
Info 20   [12:46:24.279] 	Files (8)

Info 21   [12:46:24.279] -----------------------------------------------
Info 22   [12:46:24.279] Project '/dev/null/inferredProject1*' (Inferred)
Info 22   [12:46:24.279] 	Files (8)

Info 22   [12:46:24.279] -----------------------------------------------
Info 22   [12:46:24.279] Open files: 
Info 22   [12:46:24.279] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.FFI.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 22   [12:46:24.279] 		Projects: /dev/null/inferredProject1*
Info 22   [12:46:24.539] Format host information updated
Info 23   [12:46:27.714] Format host information updated
Info 24   [12:46:27.924] Format host information updated
Info 25   [12:46:28.379] Format host information updated
Info 26   [12:46:28.571] Format host information updated
Info 27   [12:46:28.641] Format host information updated
Info 28   [12:46:28.780] Format host information updated
Info 29   [12:46:28.870] Format host information updated
Info 30   [12:46:29.057] Format host information updated
Info 31   [12:46:29.197] Format host information updated
Info 32   [12:46:29.267] Format host information updated
Info 33   [12:46:29.329] Format host information updated
Info 34   [12:46:29.398] Format host information updated
Info 35   [12:46:29.608] Format host information updated
Info 36   [12:46:29.723] Format host information updated
Info 37   [12:46:29.893] Format host information updated
Info 38   [12:46:30.016] Format host information updated
Info 39   [12:46:30.332] Format host information updated
Info 40   [12:46:30.401] Format host information updated
Info 41   [12:46:30.561] Format host information updated
Info 42   [12:46:30.680] Format host information updated
Info 43   [12:46:30.950] Format host information updated
Info 44   [12:46:31.102] Format host information updated
Info 45   [12:46:31.219] Format host information updated
Info 46   [12:46:31.282] Format host information updated
Info 47   [12:46:31.404] Format host information updated
Info 48   [12:46:31.566] Format host information updated
Info 49   [12:46:31.916] Format host information updated
Info 50   [12:46:32.019] Format host information updated
Info 51   [12:46:32.098] Format host information updated
Info 52   [12:46:33.432] Format host information updated
Info 53   [12:46:33.494] Format host information updated
Info 54   [12:46:33.976] Format host information updated
Info 55   [12:46:34.059] Format host information updated
Info 56   [12:46:34.149] Format host information updated
Info 57   [12:46:34.305] Format host information updated
Info 58   [12:46:34.599] Format host information updated
Info 59   [12:46:34.782] Format host information updated
Info 60   [12:46:34.840] Format host information updated
Info 61   [12:46:35.014] Format host information updated
Info 62   [12:46:35.296] Format host information updated
Info 63   [12:46:35.404] Format host information updated
Info 64   [12:46:36.797] Format host information updated
Info 65   [12:46:36.953] Format host information updated
Info 66   [12:46:37.212] Format host information updated
Info 67   [12:46:37.301] Format host information updated
Info 68   [12:46:37.497] Format host information updated
Info 69   [12:46:37.562] Format host information updated
Info 70   [12:46:38.198] Format host information updated
Info 71   [12:46:38.512] Format host information updated
Info 72   [12:46:38.601] Format host information updated
Info 73   [12:46:38.669] Format host information updated
Info 74   [12:46:38.832] Format host information updated
Info 75   [12:46:39.256] Format host information updated
Info 76   [12:46:39.415] Format host information updated
Info 77   [12:46:39.639] Format host information updated
Info 78   [12:46:39.710] Format host information updated
Info 79   [12:46:39.885] Format host information updated
Info 80   [12:46:40.092] Format host information updated
Info 81   [12:46:40.193] Format host information updated
Info 82   [12:46:40.294] Format host information updated
Info 83   [12:46:40.404] Format host information updated
Info 84   [12:46:40.476] Format host information updated
Info 85   [12:46:40.598] Format host information updated
Info 86   [12:46:40.659] Format host information updated
Info 87   [12:46:41.176] Format host information updated
Info 88   [12:46:41.301] Format host information updated
Info 89   [12:46:41.495] Format host information updated
Info 90   [12:46:41.573] Format host information updated
Info 91   [12:46:41.720] Format host information updated
Info 92   [12:46:41.908] Format host information updated
Info 93   [12:46:42.269] Format host information updated
Info 94   [12:46:42.347] Format host information updated
Info 95   [12:46:42.751] Format host information updated
Info 96   [12:46:42.853] Format host information updated
Info 97   [12:46:42.957] Format host information updated
Info 98   [12:46:43.079] Format host information updated
Info 99   [12:46:44.616] Format host information updated
Info 100  [12:46:44.676] Format host information updated
Info 101  [12:46:46.507] Format host information updated
Info 102  [12:46:46.901] Format host information updated
Info 103  [12:46:47.115] Format host information updated
Info 104  [12:46:47.238] Format host information updated
Info 105  [12:46:47.373] Format host information updated
Info 106  [12:46:47.454] Format host information updated
Info 107  [12:46:48.516] Format host information updated
Info 108  [12:46:48.581] Format host information updated
Info 109  [12:46:48.696] Format host information updated
Info 110  [12:46:49.212] Format host information updated
Info 111  [12:46:49.383] Format host information updated
Info 112  [12:46:49.541] Format host information updated
Info 113  [12:46:49.599] Format host information updated
Info 114  [12:46:50.312] Format host information updated
Info 115  [12:46:50.765] Format host information updated
Info 116  [12:46:51.262] Format host information updated
Info 117  [12:46:51.321] Format host information updated
Info 118  [12:46:51.912] Format host information updated
Info 119  [12:46:52.263] Format host information updated
Info 120  [12:46:52.490] Format host information updated
Info 121  [12:46:52.615] Format host information updated
Info 122  [12:46:52.878] Format host information updated
Info 123  [12:46:52.998] Format host information updated
Info 124  [12:46:53.085] Format host information updated
Info 125  [12:46:53.173] Format host information updated
Info 126  [12:46:53.241] Format host information updated
Info 127  [12:46:53.447] Format host information updated
Info 128  [12:46:53.666] Format host information updated
Info 129  [12:46:53.728] Format host information updated
Info 130  [12:46:53.900] Format host information updated
Info 131  [12:46:53.971] Format host information updated
Info 132  [12:46:54.118] Format host information updated
Info 133  [12:46:54.182] Format host information updated
Info 134  [12:46:54.404] Format host information updated
Info 135  [12:46:54.490] Format host information updated
Info 136  [12:46:55.996] Format host information updated
Info 137  [12:46:56.056] Format host information updated
Info 138  [12:46:56.232] Format host information updated
Info 139  [12:46:56.300] Format host information updated
Info 140  [12:46:56.422] Format host information updated
Info 141  [12:46:56.579] Format host information updated
Info 142  [12:46:56.691] Format host information updated
Info 143  [12:46:56.788] Format host information updated
Info 144  [12:47:05.891] Format host information updated
Info 145  [12:47:06.015] Format host information updated
Info 146  [12:47:06.094] Format host information updated
Info 147  [12:47:06.160] Format host information updated
Info 148  [12:47:06.262] Format host information updated
Info 149  [12:47:06.331] Format host information updated
Info 150  [12:47:06.485] Format host information updated
Info 151  [12:47:06.986] Format host information updated
Info 152  [12:47:07.142] Format host information updated
Info 153  [12:47:07.303] Format host information updated
Info 154  [12:47:08.725] Format host information updated
Info 155  [12:47:08.956] Format host information updated
Info 156  [12:47:09.247] Format host information updated
Info 157  [12:47:09.443] Format host information updated
Info 158  [12:47:09.564] Format host information updated
Info 159  [12:47:09.846] Format host information updated
Info 160  [12:47:09.962] Format host information updated
Info 161  [12:47:10.378] Format host information updated
Info 162  [12:47:10.483] Format host information updated
Info 163  [12:47:10.678] Format host information updated
Info 164  [12:47:10.832] Format host information updated
Info 165  [12:47:10.899] Format host information updated
Info 166  [12:47:11.068] Format host information updated
Info 167  [12:47:11.124] Format host information updated
Info 168  [12:47:11.331] Format host information updated
Info 169  [12:47:11.406] Format host information updated
Info 170  [12:47:11.478] Format host information updated
Info 171  [12:47:11.537] Format host information updated
Info 172  [12:47:11.668] Format host information updated
Info 173  [12:47:11.725] Format host information updated
Info 174  [12:47:11.841] Format host information updated
Info 175  [12:47:12.523] Format host information updated
Info 176  [12:47:12.582] Format host information updated
Info 177  [12:47:12.771] Format host information updated
Info 178  [12:47:12.929] Format host information updated
Info 179  [12:47:13.145] Format host information updated
Info 180  [12:47:13.281] Format host information updated
Info 181  [12:47:13.505] Format host information updated
Info 182  [12:47:13.656] Format host information updated
Info 183  [12:47:14.066] Format host information updated
Info 184  [12:47:14.264] Format host information updated
Info 185  [12:47:14.326] Format host information updated
Info 186  [12:47:15.919] Format host information updated
Info 187  [12:47:16.164] Format host information updated
Info 188  [12:47:16.280] Format host information updated
Info 189  [12:47:16.479] Format host information updated
Info 190  [12:47:16.576] Format host information updated
Info 191  [12:47:16.737] Format host information updated
Info 192  [12:47:16.858] Format host information updated
Info 193  [12:47:16.936] Format host information updated
Info 194  [12:47:17.126] Format host information updated
Info 195  [12:47:17.251] Format host information updated
Info 196  [12:47:17.643] Format host information updated
Info 197  [12:47:17.767] Format host information updated
Info 198  [12:47:17.842] Format host information updated
Info 199  [12:47:18.001] Format host information updated
Info 200  [12:47:18.207] Format host information updated
Info 201  [12:47:18.315] Format host information updated
Info 202  [12:47:18.919] Format host information updated
Info 203  [12:47:18.994] Format host information updated
Info 204  [12:47:19.241] Format host information updated
Info 205  [12:47:19.347] Format host information updated
Info 206  [12:47:19.473] Format host information updated
Info 207  [12:47:19.607] Format host information updated
Info 208  [12:47:19.729] Format host information updated
Info 209  [12:47:19.789] Format host information updated
Info 210  [12:47:20.255] Format host information updated
Info 211  [12:47:20.345] Format host information updated
Info 212  [12:47:20.514] Format host information updated
Info 213  [12:47:20.571] Format host information updated
Info 214  [12:47:20.714] Format host information updated
Info 215  [12:47:20.773] Format host information updated
Info 216  [12:47:20.835] Format host information updated
Info 217  [12:47:20.964] Format host information updated
Info 218  [12:47:21.020] Format host information updated
Info 219  [12:47:21.111] Format host information updated
Info 220  [12:47:22.302] Format host information updated
Info 221  [12:47:22.445] Format host information updated
Info 222  [12:47:22.696] Format host information updated
Info 223  [12:47:22.852] Format host information updated
Info 224  [12:47:23.193] Format host information updated
Info 225  [12:47:23.308] Format host information updated
Info 226  [12:47:23.537] Format host information updated
Info 227  [12:47:23.687] Format host information updated
Info 228  [12:47:23.790] Format host information updated
Info 229  [12:47:23.880] Format host information updated
Info 230  [12:47:24.023] Format host information updated
Info 231  [12:47:24.083] Format host information updated
Info 232  [12:47:24.516] Format host information updated
Info 233  [12:47:24.608] Format host information updated
Info 234  [12:47:24.717] Format host information updated
Info 235  [12:47:24.787] Format host information updated
Info 236  [12:47:24.922] Format host information updated
Info 237  [12:47:24.982] Format host information updated
Info 238  [12:47:25.109] Format host information updated
Info 239  [12:47:25.249] Format host information updated
Info 240  [12:47:25.414] Format host information updated
Info 241  [12:47:25.470] Format host information updated
Info 242  [12:47:25.698] Format host information updated
Info 243  [12:47:25.796] Format host information updated
Info 244  [12:47:25.860] Format host information updated
Info 245  [12:57:36.858] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 246  [12:57:36.875] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: true structureIsReused:: Not Elapsed: 16.8293550000526ms
Info 247  [12:57:36.875] Project '/dev/null/inferredProject1*' (Inferred)
Info 248  [12:57:36.875] 	Files (9)

Info 249  [12:57:36.875] -----------------------------------------------
Info 250  [12:57:36.876] Project '/dev/null/inferredProject1*' (Inferred)
Info 250  [12:57:36.876] 	Files (9)

Info 250  [12:57:36.876] -----------------------------------------------
Info 250  [12:57:36.876] Open files: 
Info 250  [12:57:36.876] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.FFI.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 250  [12:57:36.876] 		Projects: /dev/null/inferredProject1*
Info 250  [12:57:36.876] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 250  [12:57:36.876] 		Projects: /dev/null/inferredProject1*
Info 250  [12:57:37.047] Format host information updated
Info 251  [12:57:42.756] Format host information updated
Info 252  [12:57:43.655] Format host information updated
Info 253  [12:57:45.748] Format host information updated
