Info 0    [19:07:53.464] Starting TS Server
Info 1    [19:07:53.465] Version: 5.2.2
Info 2    [19:07:53.465] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/30198ea5ebe673e52dd608ce097e1250/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-7L7EyP/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [19:07:53.465] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [19:07:53.465] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [19:07:53.469] Format host information updated
Info 6    [19:07:53.473] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [19:07:53.768] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 295.10132299363613ms
Info 8    [19:07:53.768] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [19:07:53.768] 	Files (8)

Info 10   [19:07:53.768] -----------------------------------------------
Info 11   [19:07:53.769] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [19:07:53.769] 	Files (8)

Info 11   [19:07:53.769] -----------------------------------------------
Info 11   [19:07:53.769] Open files: 
Info 11   [19:07:53.769] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [19:07:53.769] 		Projects: /dev/null/inferredProject1*
Info 11   [19:07:54.200] Format host information updated
Info 12   [19:07:54.383] Format host information updated
Info 13   [19:07:54.527] Format host information updated
Info 14   [19:17:58.698] Format host information updated
Info 15   [19:17:59.274] Format host information updated
Info 16   [19:17:59.879] Format host information updated
Info 17   [19:18:00.083] Format host information updated
Info 18   [19:18:00.213] Format host information updated
Info 19   [19:18:00.312] Format host information updated
Info 20   [19:18:00.390] Format host information updated
Info 21   [19:18:00.889] Format host information updated
Info 22   [19:18:00.986] Format host information updated
Info 23   [19:18:01.055] Format host information updated
Info 24   [19:18:01.183] Format host information updated
Info 25   [19:18:01.418] Format host information updated
Info 26   [19:18:01.564] Format host information updated
Info 27   [19:18:01.635] Format host information updated
Info 28   [19:18:01.999] Format host information updated
Info 29   [19:18:02.143] Format host information updated
Info 30   [19:18:02.229] Format host information updated
Info 31   [19:18:02.654] Format host information updated
Info 32   [19:18:02.983] Format host information updated
Info 33   [19:18:03.107] Format host information updated
Info 34   [19:18:03.559] Format host information updated
Info 35   [19:18:03.668] Format host information updated
Info 36   [19:18:03.755] Format host information updated
Info 37   [19:18:03.823] Format host information updated
Info 38   [19:18:03.954] Format host information updated
Info 39   [19:18:04.024] Format host information updated
Info 40   [19:18:04.381] Format host information updated
Info 41   [19:18:04.470] Format host information updated
Info 42   [19:18:04.580] Format host information updated
Info 43   [19:18:06.348] Format host information updated
Info 44   [19:18:06.498] Format host information updated
Info 45   [19:18:06.602] Format host information updated
Info 46   [19:18:06.776] Format host information updated
Info 47   [19:18:06.992] Format host information updated
Info 48   [19:18:07.086] Format host information updated
Info 49   [19:18:07.176] Format host information updated
Info 50   [19:18:07.334] Format host information updated
Info 51   [19:18:07.454] Format host information updated
Info 52   [19:18:07.558] Format host information updated
Info 53   [19:18:07.709] Format host information updated
Info 54   [19:18:07.896] Format host information updated
Info 55   [19:18:08.103] Format host information updated
Info 56   [19:18:08.254] Format host information updated
Info 57   [19:18:08.405] Format host information updated
Info 58   [19:18:08.634] Format host information updated
Info 59   [19:18:08.763] Format host information updated
