Info 0    [10:46:59.903] Starting TS Server
Info 1    [10:46:59.903] Version: 5.2.2
Info 2    [10:46:59.903] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/fb355fa5e3701e219e21a8a1e2381140/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-8AoFuo/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [10:46:59.903] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [10:46:59.903] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [10:46:59.908] Format host information updated
Info 6    [10:46:59.912] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [10:47:00.221] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 309.1132279932499ms
Info 8    [10:47:00.221] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [10:47:00.222] 	Files (8)

Info 10   [10:47:00.222] -----------------------------------------------
Info 11   [10:47:00.222] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [10:47:00.222] 	Files (8)

Info 11   [10:47:00.222] -----------------------------------------------
Info 11   [10:47:00.222] Open files: 
Info 11   [10:47:00.222] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Page.Emulate.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [10:47:00.222] 		Projects: /dev/null/inferredProject1*
Info 11   [10:47:00.222] Format host information updated
Info 12   [10:47:00.224] Format host information updated
Info 13   [10:47:00.224] Format host information updated
Info 14   [10:47:00.278] Format host information updated
Info 15   [10:47:00.564] Format host information updated
Info 16   [10:47:01.116] Format host information updated
Info 17   [10:47:01.325] Format host information updated
Info 18   [10:47:04.860] Format host information updated
Info 19   [10:47:05.086] Format host information updated
Info 20   [10:47:05.278] Format host information updated
Info 21   [10:47:05.336] Format host information updated
Info 22   [10:47:05.407] Format host information updated
Info 23   [10:47:05.505] Format host information updated
Info 24   [10:47:05.563] Format host information updated
Info 25   [10:47:05.681] Format host information updated
Info 26   [10:47:05.992] Format host information updated
Info 27   [10:47:06.074] Format host information updated
Info 28   [10:47:06.216] Format host information updated
Info 29   [10:47:06.277] Format host information updated
Info 30   [10:47:11.071] Format host information updated
Info 31   [10:47:11.930] Format host information updated
Info 32   [10:47:13.063] Format host information updated
Info 33   [10:47:14.162] Format host information updated
Info 34   [10:47:14.409] Format host information updated
Info 35   [10:47:14.553] Format host information updated
Info 36   [10:47:16.320] Format host information updated
Info 37   [10:47:16.527] Format host information updated
Info 38   [10:47:16.798] Format host information updated
Info 39   [10:47:19.190] Format host information updated
Info 40   [10:47:19.927] Format host information updated
Info 41   [10:47:20.201] Format host information updated
Info 42   [10:47:20.402] Format host information updated
Info 43   [10:47:20.467] Format host information updated
Info 44   [10:47:20.829] Format host information updated
Info 45   [10:47:21.226] Format host information updated
Info 46   [10:47:21.329] Format host information updated
Info 47   [10:47:21.413] Format host information updated
Info 48   [10:47:21.602] Format host information updated
Info 49   [10:47:24.263] Format host information updated
Info 50   [10:47:27.009] Format host information updated
Info 51   [10:47:29.237] Format host information updated
Info 52   [10:47:29.951] Format host information updated
Info 53   [10:47:30.953] Format host information updated
Info 54   [10:47:32.333] Format host information updated
Info 55   [10:47:39.255] Format host information updated
Info 56   [10:47:39.472] Format host information updated
Info 57   [10:47:39.821] Format host information updated
Info 58   [10:47:40.143] Format host information updated
Info 59   [10:47:40.659] Format host information updated
Info 60   [10:47:41.430] Format host information updated
Info 61   [10:47:42.238] Format host information updated
Info 62   [10:47:43.927] Format host information updated
Info 63   [10:47:45.946] Format host information updated
Info 64   [10:47:46.463] Format host information updated
Info 65   [10:47:47.512] Format host information updated
Info 66   [10:47:51.130] Format host information updated
Info 67   [10:47:54.043] Format host information updated
Info 68   [10:47:56.520] Format host information updated
Info 69   [10:47:59.028] Format host information updated
Info 70   [10:48:01.115] Format host information updated
Info 71   [10:48:03.685] Format host information updated
Info 72   [10:48:10.302] Format host information updated
