Info 0    [19:39:47.249] Starting TS Server
Info 1    [19:39:47.252] Version: 5.2.2
Info 2    [19:39:47.252] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/e2579f2af60a9b816c5903dd5920ec52/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-8dmjKv/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [19:39:47.252] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [19:39:47.252] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [19:39:47.257] Format host information updated
Info 6    [19:39:47.262] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [19:39:47.598] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 336.65708400000585ms
Info 8    [19:39:47.598] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [19:39:47.599] 	Files (8)

Info 10   [19:39:47.599] -----------------------------------------------
Info 11   [19:39:47.599] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [19:39:47.599] 	Files (8)

Info 11   [19:39:47.599] -----------------------------------------------
Info 11   [19:39:47.599] Open files: 
Info 11   [19:39:47.599] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [19:39:47.599] 		Projects: /dev/null/inferredProject1*
Info 11   [19:39:47.600] Format host information updated
Info 12   [19:39:47.601] Format host information updated
Info 13   [19:39:47.791] Format host information updated
Info 14   [19:39:48.008] Format host information updated
Info 15   [19:39:48.208] Format host information updated
Info 16   [19:39:48.403] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 17   [19:39:48.410] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 6.629858000029344ms
Info 18   [19:39:48.410] Different program with same set of files
Info 19   [19:39:48.431] getCompletionData: Get current token: 0.03580500005045906
Info 20   [19:39:48.431] getCompletionData: Is inside comment: 0.0514860000112094
Info 21   [19:39:48.431] getCompletionData: Get previous token: 0.026433999999426305
Info 22   [19:39:48.435] getExportInfoMap: cache miss or empty; calculating new results
Info 23   [19:39:48.436] getExportInfoMap: done in 1.7850289999623783 ms
Info 24   [19:39:48.438] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 25   [19:39:48.438] collectAutoImports: response is complete
Info 26   [19:39:48.438] collectAutoImports: 0.8245360000291839
Info 27   [19:39:48.438] getCompletionData: Semantic work: 7.117113000014797
