Info 0    [21:45:04.437] Starting TS Server
Info 1    [21:45:04.440] Version: 5.2.2
Info 2    [21:45:04.440] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/97e25f70c39214f313bb932b8f697031/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-Eocjjp/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [21:45:04.440] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [21:45:04.440] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [21:45:04.445] Format host information updated
Info 6    [21:45:04.449] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [21:45:04.773] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 323.52911200001836ms
Info 8    [21:45:04.773] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [21:45:04.773] 	Files (8)

Info 10   [21:45:04.773] -----------------------------------------------
Info 11   [21:45:04.773] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [21:45:04.773] 	Files (8)

Info 11   [21:45:04.773] -----------------------------------------------
Info 11   [21:45:04.773] Open files: 
Info 11   [21:45:04.773] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [21:45:04.773] 		Projects: /dev/null/inferredProject1*
Info 11   [21:45:04.775] Format host information updated
Info 12   [21:45:05.376] Format host information updated
Info 13   [21:45:06.019] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [21:45:06.028] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 8.360830000019632ms
Info 15   [21:45:06.028] Different program with same set of files
Info 16   [21:45:06.074] Format host information updated
Info 17   [21:45:07.402] Format host information updated
Info 18   [21:45:07.563] Format host information updated
Info 19   [21:45:07.735] Format host information updated
Info 20   [21:47:39.531] Format host information updated
Info 21   [21:47:39.654] Format host information updated
Info 22   [21:47:39.759] Format host information updated
Info 23   [21:47:39.974] Format host information updated
Info 24   [21:47:40.838] Format host information updated
Info 25   [21:47:40.986] Format host information updated
Info 26   [21:47:41.100] Format host information updated
Info 27   [21:47:41.906] Format host information updated
Info 28   [21:47:41.978] Format host information updated
Info 29   [21:47:42.080] Format host information updated
Info 30   [21:47:42.278] Format host information updated
Info 31   [21:47:42.456] Format host information updated
Info 32   [21:47:42.606] Format host information updated
Info 33   [21:47:42.756] Format host information updated
Info 34   [21:47:42.905] Format host information updated
Info 35   [21:47:43.075] Format host information updated
Info 36   [21:47:43.265] Format host information updated
Info 37   [21:47:43.346] Format host information updated
Info 38   [21:47:43.633] Format host information updated
Info 39   [21:47:43.805] Format host information updated
Info 40   [21:47:43.875] Format host information updated
Info 41   [21:47:44.058] Format host information updated
Info 42   [21:47:44.154] Format host information updated
Info 43   [21:47:44.566] Format host information updated
Info 44   [21:47:44.872] Format host information updated
Info 45   [21:47:45.069] Format host information updated
Info 46   [21:47:45.236] Format host information updated
Info 47   [21:47:45.342] Format host information updated
Info 48   [21:47:45.715] Format host information updated
Info 49   [21:47:45.789] Format host information updated
Info 50   [21:47:45.926] Format host information updated
Info 51   [21:47:46.075] Format host information updated
Info 52   [21:47:46.189] Format host information updated
Info 53   [21:47:46.257] Format host information updated
Info 54   [21:47:46.454] Format host information updated
Info 55   [21:47:46.562] Format host information updated
Info 56   [21:47:46.738] Format host information updated
Info 57   [21:47:46.898] Format host information updated
Info 58   [21:47:47.046] Format host information updated
Info 59   [21:47:47.271] Format host information updated
Info 60   [21:47:47.381] Format host information updated
Info 61   [21:47:47.533] Format host information updated
Info 62   [21:47:47.610] Format host information updated
Info 63   [21:47:47.787] Format host information updated
Info 64   [21:47:47.896] Format host information updated
Info 65   [21:47:48.013] Format host information updated
Info 66   [21:47:48.132] Format host information updated
Info 67   [21:47:48.333] Format host information updated
Info 68   [21:47:48.503] Format host information updated
Info 69   [21:47:48.601] Format host information updated
Info 70   [21:47:48.739] Format host information updated
Info 71   [21:47:49.804] Format host information updated
Info 72   [21:47:49.936] Format host information updated
Info 73   [21:47:50.318] Format host information updated
Info 74   [21:47:50.381] Format host information updated
Info 75   [21:47:50.591] Format host information updated
Info 76   [21:47:53.917] Format host information updated
Info 77   [21:47:53.978] Format host information updated
Info 78   [21:47:54.825] Format host information updated
Info 79   [21:47:54.938] Format host information updated
Info 80   [21:47:55.581] Format host information updated
Info 81   [21:47:55.582] Format host information updated
Info 82   [21:47:55.643] Format host information updated
Info 83   [21:49:50.112] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 84   [21:49:50.123] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true structureIsReused:: Not Elapsed: 10.820427000056952ms
Info 85   [21:49:50.123] Project '/dev/null/inferredProject1*' (Inferred)
Info 86   [21:49:50.123] 	Files (9)

Info 87   [21:49:50.123] -----------------------------------------------
Info 88   [21:49:50.123] Project '/dev/null/inferredProject1*' (Inferred)
Info 88   [21:49:50.123] 	Files (9)

Info 88   [21:49:50.123] -----------------------------------------------
Info 88   [21:49:50.123] Open files: 
Info 88   [21:49:50.123] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 88   [21:49:50.123] 		Projects: /dev/null/inferredProject1*
Info 88   [21:49:50.123] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Page.Event.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 88   [21:49:50.123] 		Projects: /dev/null/inferredProject1*
Info 88   [21:49:50.335] Format host information updated
Info 89   [21:49:51.037] Project '/dev/null/inferredProject1*' (Inferred)
Info 89   [21:49:51.037] 	Files (9)

Info 89   [21:49:51.037] -----------------------------------------------
Info 89   [21:49:51.037] Open files: 
Info 89   [21:49:51.037] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 89   [21:49:51.037] 		Projects: /dev/null/inferredProject1*
Info 89   [21:52:22.652] Format host information updated
Info 90   [21:52:23.503] Format host information updated
Info 91   [21:55:33.941] Format host information updated
Info 92   [21:55:34.133] Format host information updated
Info 93   [21:55:34.210] Format host information updated
Info 94   [21:55:35.556] Format host information updated
Info 95   [21:55:35.722] Format host information updated
Info 96   [21:55:35.909] Format host information updated
Info 97   [21:55:36.030] Format host information updated
Info 98   [21:55:36.103] Format host information updated
Info 99   [21:55:36.216] Format host information updated
Info 100  [21:55:36.317] Format host information updated
Info 101  [21:55:36.402] Format host information updated
Info 102  [21:55:36.468] Format host information updated
Info 103  [21:55:36.692] Format host information updated
Info 104  [21:55:36.981] Format host information updated
Info 105  [21:55:37.108] Format host information updated
Info 106  [21:55:37.319] Format host information updated
Info 107  [21:55:41.209] Format host information updated
Info 108  [21:55:42.891] Format host information updated
Info 109  [21:55:49.160] Format host information updated
Info 110  [21:55:49.326] Format host information updated
Info 111  [21:55:49.496] Format host information updated
Info 112  [21:55:49.599] Format host information updated
Info 113  [21:55:49.688] Format host information updated
Info 114  [21:55:49.771] Format host information updated
Info 115  [21:55:49.860] Format host information updated
Info 116  [21:55:50.082] Format host information updated
Info 117  [21:55:50.174] Format host information updated
Info 118  [21:55:50.371] Format host information updated
Info 119  [21:55:50.798] Format host information updated
Info 120  [21:55:50.891] Format host information updated
Info 121  [21:55:50.999] Format host information updated
Info 122  [21:55:51.180] Format host information updated
Info 123  [21:55:51.362] Format host information updated
Info 124  [21:55:51.720] Format host information updated
Info 125  [21:55:51.826] Format host information updated
Info 126  [21:55:51.886] Format host information updated
Info 127  [21:55:51.980] Format host information updated
Info 128  [21:55:52.084] Format host information updated
Info 129  [21:55:52.157] Format host information updated
Info 130  [21:55:52.227] Format host information updated
Info 131  [21:55:52.449] Format host information updated
Info 132  [21:55:52.510] Format host information updated
Info 133  [21:55:52.676] Format host information updated
Info 134  [21:55:52.809] Format host information updated
Info 135  [21:55:53.368] Format host information updated
Info 136  [21:55:53.478] Format host information updated
Info 137  [21:55:53.624] Format host information updated
Info 138  [21:55:53.925] Format host information updated
Info 139  [21:55:54.115] Format host information updated
Info 140  [21:55:54.463] Format host information updated
Info 141  [21:55:54.613] Format host information updated
Info 142  [21:55:55.522] Format host information updated
Info 143  [21:55:55.821] Format host information updated
Info 144  [21:55:55.956] Format host information updated
Info 145  [21:55:56.116] Format host information updated
Info 146  [21:55:56.552] Format host information updated
Info 147  [21:55:56.826] Format host information updated
Info 148  [21:55:56.963] Format host information updated
Info 149  [21:55:57.099] Format host information updated
Info 150  [21:55:57.218] Format host information updated
Info 151  [21:55:57.596] Format host information updated
Info 152  [21:55:58.136] Format host information updated
Info 153  [21:55:58.224] Format host information updated
Info 154  [21:55:58.478] Format host information updated
Info 155  [21:55:58.595] Format host information updated
Info 156  [21:55:58.658] Format host information updated
Info 157  [21:55:58.723] Format host information updated
Info 158  [21:55:59.315] Format host information updated
Info 159  [21:55:59.550] Format host information updated
Info 160  [21:55:59.691] Format host information updated
Info 161  [21:55:59.982] Format host information updated
Info 162  [21:56:00.711] Format host information updated
Info 163  [21:56:01.043] Format host information updated
Info 164  [21:56:01.656] Format host information updated
Info 165  [21:56:01.804] Format host information updated
Info 166  [21:56:01.954] Format host information updated
Info 167  [21:56:02.086] Format host information updated
Info 168  [21:56:02.958] Format host information updated
Info 169  [21:56:03.054] Format host information updated
Info 170  [21:56:03.785] Format host information updated
Info 171  [21:56:03.891] Format host information updated
Info 172  [21:56:04.395] Format host information updated
Info 173  [21:56:04.790] Format host information updated
Info 174  [21:56:05.056] Format host information updated
Info 175  [21:56:05.200] Format host information updated
Info 176  [21:56:05.261] Format host information updated
Info 177  [21:56:05.363] Format host information updated
Info 178  [21:56:05.430] Format host information updated
Info 179  [21:56:05.552] Format host information updated
Info 180  [21:56:05.870] Format host information updated
Info 181  [21:56:06.045] Format host information updated
Info 182  [21:56:06.112] Format host information updated
Info 183  [21:56:06.239] Format host information updated
Info 184  [21:56:06.303] Format host information updated
Info 185  [21:56:06.399] Format host information updated
Info 186  [21:56:06.987] Format host information updated
Info 187  [21:56:07.534] Format host information updated
Info 188  [21:56:07.630] Format host information updated
Info 189  [21:56:07.715] Format host information updated
Info 190  [21:56:07.787] Format host information updated
Info 191  [21:56:07.954] Format host information updated
Info 192  [21:56:08.087] Format host information updated
Info 193  [21:56:08.155] Format host information updated
Info 194  [21:56:08.222] Format host information updated
Info 195  [21:56:08.316] Format host information updated
Info 196  [21:56:08.401] Format host information updated
Info 197  [21:56:08.462] Format host information updated
Info 198  [21:56:08.714] Format host information updated
Info 199  [21:56:08.930] Format host information updated
Info 200  [21:56:09.187] Format host information updated
Info 201  [21:56:09.473] Format host information updated
Info 202  [21:56:09.631] Format host information updated
Info 203  [21:56:09.827] Format host information updated
Info 204  [21:56:09.959] Format host information updated
Info 205  [21:56:10.133] Format host information updated
Info 206  [21:56:10.327] Format host information updated
Info 207  [21:56:10.447] Format host information updated
Info 208  [21:57:41.250] Format host information updated
Info 209  [21:57:41.416] Format host information updated
Info 210  [21:57:41.477] Format host information updated
Info 211  [21:57:41.661] Format host information updated
Info 212  [21:57:41.971] Format host information updated
Info 213  [21:57:43.866] Format host information updated
Info 214  [21:57:44.174] Format host information updated
Info 215  [21:57:44.418] Format host information updated
Info 216  [21:57:52.237] Format host information updated
Info 217  [21:57:54.325] Format host information updated
Info 218  [21:57:54.507] Format host information updated
Info 219  [21:57:54.616] Format host information updated
Info 220  [21:57:54.739] Format host information updated
Info 221  [21:57:54.821] Format host information updated
Info 222  [21:57:54.907] Format host information updated
Info 223  [21:57:55.149] Format host information updated
Info 224  [21:59:49.517] Format host information updated
Info 225  [21:59:49.775] Format host information updated
Info 226  [21:59:49.850] Format host information updated
Info 227  [21:59:49.995] Format host information updated
Info 228  [21:59:50.118] Format host information updated
Info 229  [21:59:50.528] Format host information updated
Info 230  [21:59:50.842] Format host information updated
Info 231  [21:59:50.975] Format host information updated
Info 232  [21:59:51.074] Format host information updated
Info 233  [21:59:51.248] Format host information updated
Info 234  [21:59:51.449] Format host information updated
Info 235  [21:59:51.509] Format host information updated
Info 236  [21:59:51.660] Format host information updated
Info 237  [21:59:51.759] Format host information updated
Info 238  [21:59:52.086] Format host information updated
Info 239  [21:59:52.457] Format host information updated
Info 240  [21:59:52.635] Format host information updated
Info 241  [21:59:52.700] Format host information updated
Info 242  [21:59:52.877] Format host information updated
Info 243  [21:59:52.971] Format host information updated
