Info 0    [17:09:01.872] Starting TS Server
Info 1    [17:09:01.872] Version: 5.2.2
Info 2    [17:09:01.872] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/9543b236500632a05ad043d799a4bc83/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-FtQKG1/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [17:09:01.872] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [17:09:01.872] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [17:09:01.877] Format host information updated
Info 6    [17:09:01.881] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [17:09:02.229] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 347.80071400105953ms
Info 8    [17:09:02.229] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [17:09:02.229] 	Files (8)

Info 10   [17:09:02.229] -----------------------------------------------
Info 11   [17:09:02.229] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [17:09:02.229] 	Files (8)

Info 11   [17:09:02.229] -----------------------------------------------
Info 11   [17:09:02.229] Open files: 
Info 11   [17:09:02.229] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Page.Cookie.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [17:09:02.229] 		Projects: /dev/null/inferredProject1*
Info 11   [17:09:02.229] Format host information updated
Info 12   [17:09:02.230] Format host information updated
Info 13   [17:09:02.485] Format host information updated
Info 14   [17:09:02.923] Format host information updated
Info 15   [17:09:03.043] Format host information updated
Info 16   [17:09:03.104] Format host information updated
Info 17   [17:09:03.218] Format host information updated
Info 18   [17:09:03.312] Format host information updated
Info 19   [17:09:03.937] Format host information updated
Info 20   [17:09:08.375] Format host information updated
Info 21   [17:09:09.055] Format host information updated
