Info 0    [14:26:52.862] Starting TS Server
Info 1    [14:26:52.865] Version: 5.2.2
Info 2    [14:26:52.865] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/6dc2a5c26499cccd1cb533e8e1454120/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-O5LSig/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [14:26:52.865] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [14:26:52.865] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [14:26:52.871] Format host information updated
Info 6    [14:26:52.875] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [14:26:53.189] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 314.57270999997854ms
Info 8    [14:26:53.189] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [14:26:53.190] 	Files (8)

Info 10   [14:26:53.190] -----------------------------------------------
Info 11   [14:26:53.190] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [14:26:53.190] 	Files (8)

Info 11   [14:26:53.190] -----------------------------------------------
Info 11   [14:26:53.190] Open files: 
Info 11   [14:26:53.190] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Browser.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [14:26:53.190] 		Projects: /dev/null/inferredProject1*
Info 11   [14:26:53.191] Format host information updated
Info 12   [14:26:53.491] Format host information updated
Info 13   [14:26:53.568] Format host information updated
Info 14   [14:26:54.376] Format host information updated
Info 15   [14:26:54.713] Format host information updated
Info 16   [14:26:54.853] Format host information updated
Info 17   [14:26:54.988] Format host information updated
Info 18   [14:26:55.141] Format host information updated
Info 19   [14:26:56.685] Format host information updated
Info 20   [14:26:56.951] Format host information updated
Info 21   [14:26:58.517] Format host information updated
Info 22   [14:26:58.874] Format host information updated
Info 23   [14:26:59.736] Format host information updated
Info 24   [14:26:59.966] Format host information updated
Info 25   [14:27:00.073] Format host information updated
Info 26   [14:27:00.144] Format host information updated
Info 27   [14:27:00.342] Format host information updated
Info 28   [14:27:00.410] Format host information updated
Info 29   [14:27:00.487] Format host information updated
Info 30   [14:27:00.758] Format host information updated
Info 31   [14:27:00.975] Format host information updated
Info 32   [14:27:01.092] Format host information updated
Info 33   [14:27:01.268] Format host information updated
Info 34   [14:27:01.525] Format host information updated
Info 35   [14:27:01.579] Format host information updated
Info 36   [14:27:01.783] Format host information updated
Info 37   [14:27:01.990] Format host information updated
Info 38   [14:27:02.072] Format host information updated
Info 39   [14:27:02.180] Format host information updated
Info 40   [14:27:02.349] Format host information updated
Info 41   [14:27:02.486] Format host information updated
Info 42   [14:27:04.863] Format host information updated
Info 43   [14:27:05.058] Format host information updated
Info 44   [14:27:05.155] Format host information updated
Info 45   [14:27:05.249] Format host information updated
Info 46   [14:27:07.365] Format host information updated
Info 47   [14:27:07.533] Format host information updated
Info 48   [14:27:07.696] Format host information updated
Info 49   [14:27:07.783] Format host information updated
Info 50   [14:27:08.167] Format host information updated
Info 51   [14:27:08.167] Format host information updated
Info 52   [14:27:08.168] Format host information updated
Info 53   [14:27:13.036] Format host information updated
Info 54   [14:27:13.275] Format host information updated
Info 55   [14:27:13.480] Format host information updated
Info 56   [14:27:13.592] Format host information updated
Info 57   [14:27:13.655] Format host information updated
Info 58   [14:27:13.867] Format host information updated
Info 59   [14:27:14.036] Format host information updated
Info 60   [14:27:41.416] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [14:27:41.424] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 7.723117000074126ms
Info 62   [14:27:41.424] Project '/dev/null/inferredProject1*' (Inferred)
Info 63   [14:27:41.424] 	Files (9)

Info 64   [14:27:41.424] -----------------------------------------------
Info 65   [14:27:41.424] Project '/dev/null/inferredProject1*' (Inferred)
Info 65   [14:27:41.424] 	Files (9)

Info 65   [14:27:41.424] -----------------------------------------------
Info 65   [14:27:41.424] Open files: 
Info 65   [14:27:41.424] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Browser.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 65   [14:27:41.424] 		Projects: /dev/null/inferredProject1*
Info 65   [14:27:41.424] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Page.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 65   [14:27:41.424] 		Projects: /dev/null/inferredProject1*
Info 65   [14:27:45.394] Format host information updated
Info 66   [14:27:46.503] Format host information updated
Info 67   [14:27:47.187] Format host information updated
Info 68   [14:27:47.464] Format host information updated
Info 69   [14:27:47.759] Format host information updated
Info 70   [14:27:48.346] Format host information updated
Info 71   [14:27:48.876] Format host information updated
Info 72   [14:27:51.180] Format host information updated
Info 73   [14:27:51.384] Format host information updated
Info 74   [14:27:51.541] Format host information updated
Info 75   [14:27:51.698] Format host information updated
Info 76   [14:27:51.837] Format host information updated
Info 77   [14:27:51.974] Format host information updated
Info 78   [14:27:52.154] Format host information updated
Info 79   [14:27:52.290] Format host information updated
Info 80   [14:27:52.430] Format host information updated
Info 81   [14:27:52.583] Format host information updated
Info 82   [14:27:53.939] Format host information updated
Info 83   [14:27:54.199] Format host information updated
Info 84   [14:27:54.484] Format host information updated
Info 85   [14:27:55.652] Format host information updated
Info 86   [14:27:56.677] Format host information updated
Info 87   [14:27:57.103] Format host information updated
Info 88   [14:27:57.240] Format host information updated
Info 89   [14:27:57.734] Format host information updated
Info 90   [14:27:57.922] Format host information updated
Info 91   [14:27:58.353] Format host information updated
Info 92   [14:27:58.460] Format host information updated
Info 93   [14:27:59.783] Format host information updated
Info 94   [14:27:59.919] Format host information updated
Info 95   [14:28:00.052] Format host information updated
Info 96   [14:28:00.293] Format host information updated
Info 97   [14:28:03.090] Format host information updated
Info 98   [14:28:04.313] Format host information updated
Info 99   [14:28:04.966] Format host information updated
Info 100  [14:28:05.436] Format host information updated
Info 101  [14:28:05.875] Format host information updated
Info 102  [14:28:07.359] Format host information updated
Info 103  [14:28:07.914] Format host information updated
Info 104  [14:28:08.028] Format host information updated
Info 105  [14:28:08.213] Format host information updated
Info 106  [14:28:08.553] Format host information updated
Info 107  [14:28:08.814] Format host information updated
Info 108  [14:28:08.913] Format host information updated
Info 109  [14:28:08.976] Format host information updated
Info 110  [14:28:09.303] Format host information updated
Info 111  [14:28:14.551] Format host information updated
Info 112  [14:28:16.022] Format host information updated
Info 113  [14:28:16.111] Format host information updated
Info 114  [14:28:16.171] Format host information updated
Info 115  [14:28:16.302] Format host information updated
Info 116  [14:28:16.392] Format host information updated
Info 117  [14:28:16.596] Format host information updated
Info 118  [14:28:16.656] Format host information updated
