Info 0    [15:50:17.240] Starting TS Server
Info 1    [15:50:17.240] Version: 5.2.2
Info 2    [15:50:17.240] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/ad5479355399ecdf4aa8dbada6dcd745/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-PIffoi/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [15:50:17.240] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [15:50:17.240] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [15:50:17.245] Format host information updated
Info 6    [15:50:17.249] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [15:50:17.558] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 309.0270919986069ms
Info 8    [15:50:17.559] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [15:50:17.559] 	Files (8)

Info 10   [15:50:17.559] -----------------------------------------------
Info 11   [15:50:17.559] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [15:50:17.559] 	Files (8)

Info 11   [15:50:17.559] -----------------------------------------------
Info 11   [15:50:17.559] Open files: 
Info 11   [15:50:17.559] 	FileName: /home/orion/src/purescript-puppeteer/test/Test.Main.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [15:50:17.559] 		Projects: /dev/null/inferredProject1*
Info 11   [15:50:17.559] Format host information updated
Info 12   [15:50:17.881] Format host information updated
Info 13   [15:50:18.054] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [15:50:18.057] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 3.39385499805212ms
Info 15   [15:50:18.057] Different program with same set of files
Info 16   [15:50:18.081] getCompletionData: Get current token: 0.017358001321554184
Info 17   [15:50:18.081] getCompletionData: Is inside comment: 0.034105997532606125
Info 18   [15:50:18.081] getCompletionData: Get previous token: 0.04014899954199791
Info 19   [15:50:18.089] getCompletionData: Semantic work: 8.081252999603748
Info 20   [15:50:18.113] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 23.13484900072217
Info 21   [15:50:18.117] Format host information updated
Info 22   [15:50:18.130] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [15:50:18.133] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 2.37678400054574ms
Info 24   [15:50:18.133] Different program with same set of files
Info 25   [15:50:18.133] getCompletionData: Get current token: 0.006432000547647476
Info 26   [15:50:18.133] getCompletionData: Is inside comment: 0.012763001024723053
Info 27   [15:50:18.133] getCompletionData: Get previous token: 0.014536000788211823
Info 28   [15:50:18.135] getCompletionData: Semantic work: 1.705086998641491
Info 29   [15:50:18.143] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.54602399840951
Info 30   [15:50:18.146] Format host information updated
Info 31   [15:50:18.186] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [15:50:18.188] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 1.3787439987063408ms
Info 33   [15:50:18.188] Different program with same set of files
Info 34   [15:50:18.188] getCompletionData: Get current token: 0.059884000569581985
Info 35   [15:50:18.188] getCompletionData: Is inside comment: 0.013214997947216034
Info 36   [15:50:18.188] getCompletionData: Get previous token: 0.020225998014211655
Info 37   [15:50:18.189] getCompletionData: Semantic work: 1.277803000062704
Info 38   [15:50:18.196] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.967638999223709
Info 39   [15:50:18.199] Format host information updated
Info 40   [15:50:18.248] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [15:50:18.249] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 1.2924819998443127ms
Info 42   [15:50:18.249] Different program with same set of files
Info 43   [15:50:18.249] getCompletionData: Get current token: 0.008715000003576279
Info 44   [15:50:18.249] getCompletionData: Is inside comment: 0.008693002164363861
Info 45   [15:50:18.249] getCompletionData: Get previous token: 0.009951997548341751
Info 46   [15:50:18.251] getCompletionData: Semantic work: 1.2584569975733757
Info 47   [15:50:18.257] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6.25449800118804
Info 48   [15:50:18.259] Format host information updated
Info 49   [15:50:18.332] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [15:50:18.334] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 1.914977002888918ms
Info 51   [15:50:18.334] Different program with same set of files
Info 52   [15:50:18.334] getCompletionData: Get current token: 0.005277000367641449
Info 53   [15:50:18.334] getCompletionData: Is inside comment: 0.012616999447345734
Info 54   [15:50:18.334] getCompletionData: Get previous token: 0.01000400260090828
Info 55   [15:50:18.335] getCompletionData: Semantic work: 1.4625990018248558
Info 56   [15:50:18.340] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 5.021475002169609
Info 57   [15:50:18.342] Format host information updated
Info 58   [15:50:18.436] Format host information updated
Info 59   [15:50:18.697] Format host information updated
Info 60   [15:50:18.846] Format host information updated
Info 61   [15:50:18.932] Format host information updated
Info 62   [15:50:19.155] Format host information updated
Info 63   [15:50:19.466] Format host information updated
Info 64   [15:50:19.622] Format host information updated
Info 65   [15:50:19.682] Format host information updated
Info 66   [15:50:19.776] Format host information updated
Info 67   [15:50:20.000] Format host information updated
Info 68   [15:50:20.131] Format host information updated
Info 69   [15:50:20.246] Format host information updated
Info 70   [15:50:20.307] Format host information updated
Info 71   [15:50:20.421] Format host information updated
Info 72   [15:50:20.539] Format host information updated
Info 73   [15:50:20.648] Format host information updated
Info 74   [15:50:20.703] Format host information updated
Info 75   [15:50:20.979] Format host information updated
Info 76   [15:50:21.353] Format host information updated
Info 77   [15:50:21.467] Format host information updated
Info 78   [15:50:21.531] Format host information updated
Info 79   [15:50:21.764] Format host information updated
Info 80   [15:50:21.921] Format host information updated
Info 81   [15:50:21.999] Format host information updated
Info 82   [15:50:22.280] Format host information updated
