Info 0    [14:29:39.054] Starting TS Server
Info 1    [14:29:39.055] Version: 5.2.2
Info 2    [14:29:39.055] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/3d49f63751860356a9948a59a4eb2375/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-SV5tq1/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [14:29:39.055] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [14:29:39.055] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [14:29:39.060] Format host information updated
Info 6    [14:29:39.064] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [14:29:39.389] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 324.77680499851704ms
Info 8    [14:29:39.389] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [14:29:39.389] 	Files (8)

Info 10   [14:29:39.389] -----------------------------------------------
Info 11   [14:29:39.389] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [14:29:39.390] 	Files (8)

Info 11   [14:29:39.390] -----------------------------------------------
Info 11   [14:29:39.390] Open files: 
Info 11   [14:29:39.390] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [14:29:39.390] 		Projects: /dev/null/inferredProject1*
Info 11   [14:29:39.390] Format host information updated
Info 12   [14:29:39.626] Format host information updated
Info 13   [14:29:39.926] Format host information updated
Info 14   [14:29:39.995] Format host information updated
Info 15   [14:29:40.143] Format host information updated
Info 16   [14:29:40.337] Format host information updated
Info 17   [14:29:40.398] Format host information updated
Info 18   [14:29:40.596] Format host information updated
Info 19   [14:29:42.867] Format host information updated
Info 20   [14:29:42.935] Format host information updated
Info 21   [14:29:43.360] Format host information updated
Info 22   [14:29:43.479] Format host information updated
Info 23   [14:29:43.694] Format host information updated
Info 24   [14:29:43.798] Format host information updated
Info 25   [14:29:43.883] Format host information updated
Info 26   [14:29:44.038] Format host information updated
Info 27   [14:29:44.188] Format host information updated
Info 28   [14:29:44.246] Format host information updated
Info 29   [14:29:45.440] Format host information updated
Info 30   [14:29:45.536] Format host information updated
Info 31   [14:29:45.704] Format host information updated
Info 32   [14:29:45.800] Format host information updated
Info 33   [14:29:45.970] Format host information updated
Info 34   [14:29:46.052] Format host information updated
Info 35   [14:29:47.004] Format host information updated
Info 36   [14:29:47.136] Format host information updated
Info 37   [14:29:47.235] Format host information updated
Info 38   [14:29:47.351] Format host information updated
Info 39   [14:29:48.200] Format host information updated
Info 40   [14:29:48.375] Format host information updated
Info 41   [14:29:48.523] Format host information updated
Info 42   [14:29:48.603] Format host information updated
Info 43   [14:29:48.728] Format host information updated
Info 44   [14:29:48.799] Format host information updated
Info 45   [14:29:49.216] Format host information updated
Info 46   [14:29:49.216] Format host information updated
Info 47   [14:29:49.217] Format host information updated
Info 48   [14:29:52.553] Format host information updated
Info 49   [14:29:55.617] Format host information updated
Info 50   [14:30:40.551] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [14:30:40.563] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 11.765731999650598ms
Info 52   [14:30:40.563] Project '/dev/null/inferredProject1*' (Inferred)
Info 53   [14:30:40.563] 	Files (9)

Info 54   [14:30:40.563] -----------------------------------------------
Info 55   [14:30:40.563] Project '/dev/null/inferredProject1*' (Inferred)
Info 55   [14:30:40.563] 	Files (9)

Info 55   [14:30:40.563] -----------------------------------------------
Info 55   [14:30:40.563] Open files: 
Info 55   [14:30:40.563] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 55   [14:30:40.563] 		Projects: /dev/null/inferredProject1*
Info 55   [14:30:40.563] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Browser.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 55   [14:30:40.563] 		Projects: /dev/null/inferredProject1*
Info 55   [14:30:40.801] Format host information updated
Info 56   [14:30:42.538] Format host information updated
Info 57   [14:30:43.611] Format host information updated
Info 58   [14:31:15.647] Format host information updated
Info 59   [14:31:15.833] Format host information updated
Info 60   [14:31:15.932] Format host information updated
