Info 0    [11:03:07.164] Starting TS Server
Info 1    [11:03:07.164] Version: 5.2.2
Info 2    [11:03:07.164] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/3ae9ce55dd5f4b269644f2c89a70a0bd/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-e0G3HX/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [11:03:07.164] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [11:03:07.164] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [11:03:07.169] Format host information updated
Info 6    [11:03:07.172] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [11:03:07.472] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 299.29090500064194ms
Info 8    [11:03:07.472] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [11:03:07.472] 	Files (8)

Info 10   [11:03:07.472] -----------------------------------------------
Info 11   [11:03:07.472] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [11:03:07.472] 	Files (8)

Info 11   [11:03:07.472] -----------------------------------------------
Info 11   [11:03:07.472] Open files: 
Info 11   [11:03:07.472] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [11:03:07.472] 		Projects: /dev/null/inferredProject1*
Info 11   [11:03:07.474] Format host information updated
Info 12   [11:03:08.139] Format host information updated
Info 13   [11:03:12.850] Format host information updated
Info 14   [11:03:12.911] Format host information updated
Info 15   [11:03:13.344] Format host information updated
Info 16   [11:03:13.500] Format host information updated
Info 17   [11:03:14.351] Format host information updated
Info 18   [11:03:14.411] Format host information updated
Info 19   [11:03:14.501] Format host information updated
Info 20   [11:03:14.567] Format host information updated
Info 21   [11:03:14.641] Format host information updated
Info 22   [11:03:14.803] Format host information updated
Info 23   [11:03:14.922] Format host information updated
Info 24   [11:03:14.978] Format host information updated
Info 25   [11:03:15.171] Format host information updated
Info 26   [11:03:15.342] Format host information updated
Info 27   [11:03:15.399] Format host information updated
Info 28   [11:03:15.569] Format host information updated
Info 29   [11:03:15.957] Format host information updated
Info 30   [11:03:16.501] Format host information updated
Info 31   [11:03:16.670] Format host information updated
Info 32   [11:03:16.756] Format host information updated
Info 33   [11:03:22.056] Format host information updated
Info 34   [11:03:22.233] Format host information updated
Info 35   [11:03:22.304] Format host information updated
Info 36   [11:03:22.533] Format host information updated
Info 37   [11:03:24.718] Format host information updated
Info 38   [11:03:25.030] Format host information updated
Info 39   [11:03:25.316] Format host information updated
Info 40   [11:03:25.531] Format host information updated
Info 41   [11:03:26.564] Format host information updated
Info 42   [11:03:26.850] Format host information updated
Info 43   [11:03:28.041] Format host information updated
Info 44   [11:03:28.113] Format host information updated
Info 45   [11:03:28.195] Format host information updated
Info 46   [11:03:28.290] Format host information updated
Info 47   [11:03:28.358] Format host information updated
Info 48   [11:03:28.500] Format host information updated
Info 49   [11:03:28.556] Format host information updated
Info 50   [11:03:46.017] Format host information updated
Info 51   [11:03:46.336] Format host information updated
Info 52   [11:03:46.710] Format host information updated
Info 53   [11:03:47.097] Format host information updated
Info 54   [11:03:47.612] Format host information updated
