Info 0    [14:58:24.289] Starting TS Server
Info 1    [14:58:24.289] Version: 5.2.2
Info 2    [14:58:24.289] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/6d3b845471965648d2d12d9fa17d5642/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-eBgtU3/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [14:58:24.289] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [14:58:24.289] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [14:58:24.294] Format host information updated
Info 6    [14:58:24.299] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [14:58:24.595] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 295.46271200012416ms
Info 8    [14:58:24.595] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [14:58:24.595] 	Files (8)

Info 10   [14:58:24.595] -----------------------------------------------
Info 11   [14:58:24.595] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [14:58:24.595] 	Files (8)

Info 11   [14:58:24.595] -----------------------------------------------
Info 11   [14:58:24.595] Open files: 
Info 11   [14:58:24.595] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Browser.Context.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [14:58:24.596] 		Projects: /dev/null/inferredProject1*
Info 11   [14:58:26.547] Format host information updated
Info 12   [14:58:28.932] Format host information updated
Info 13   [14:58:30.195] Format host information updated
Info 14   [14:58:32.329] Format host information updated
Info 15   [14:58:34.849] Format host information updated
Info 16   [14:58:34.927] Format host information updated
Info 17   [14:58:35.561] Format host information updated
Info 18   [14:58:35.696] Format host information updated
Info 19   [14:58:35.854] Format host information updated
Info 20   [14:58:35.934] Format host information updated
Info 21   [14:58:35.996] Format host information updated
Info 22   [14:58:36.838] Format host information updated
Info 23   [14:58:37.026] Format host information updated
Info 24   [14:58:37.202] Format host information updated
Info 25   [14:58:37.382] Format host information updated
Info 26   [14:58:37.441] Format host information updated
Info 27   [14:58:37.653] Format host information updated
Info 28   [14:58:37.734] Format host information updated
Info 29   [14:58:37.968] Format host information updated
Info 30   [14:58:38.030] Format host information updated
Info 31   [14:58:38.118] Format host information updated
Info 32   [14:58:38.228] Format host information updated
Info 33   [14:58:38.339] Format host information updated
Info 34   [14:58:38.395] Format host information updated
Info 35   [14:58:39.825] Format host information updated
Info 36   [14:58:39.989] Format host information updated
Info 37   [14:58:40.068] Format host information updated
Info 38   [14:58:40.166] Format host information updated
Info 39   [14:58:40.411] Format host information updated
Info 40   [14:58:40.548] Format host information updated
Info 41   [14:58:40.638] Format host information updated
Info 42   [14:58:40.697] Format host information updated
Info 43   [14:58:41.603] Format host information updated
Info 44   [14:58:41.746] Format host information updated
Info 45   [14:58:43.261] Format host information updated
Info 46   [14:58:43.467] Format host information updated
Info 47   [14:58:43.538] Format host information updated
Info 48   [14:58:43.756] Format host information updated
Info 49   [14:58:44.207] Format host information updated
Info 50   [14:58:44.365] Format host information updated
Info 51   [14:58:44.485] Format host information updated
Info 52   [14:58:44.547] Format host information updated
Info 53   [14:58:44.751] Format host information updated
Info 54   [14:58:44.870] Format host information updated
Info 55   [14:58:45.110] Format host information updated
Info 56   [14:58:45.190] Format host information updated
Info 57   [14:58:45.329] Format host information updated
Info 58   [14:58:45.429] Format host information updated
Info 59   [14:58:45.517] Format host information updated
Info 60   [14:58:47.967] Format host information updated
Info 61   [14:58:49.251] Format host information updated
Info 62   [15:33:20.829] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [15:33:20.836] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 7.27278200071305ms
Info 64   [15:33:20.836] Project '/dev/null/inferredProject1*' (Inferred)
Info 65   [15:33:20.836] 	Files (9)

Info 66   [15:33:20.836] -----------------------------------------------
Info 67   [15:33:20.837] Project '/dev/null/inferredProject1*' (Inferred)
Info 67   [15:33:20.837] 	Files (9)

Info 67   [15:33:20.837] -----------------------------------------------
Info 67   [15:33:20.837] Open files: 
Info 67   [15:33:20.837] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Browser.Context.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 67   [15:33:20.837] 		Projects: /dev/null/inferredProject1*
Info 67   [15:33:20.837] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 67   [15:33:20.837] 		Projects: /dev/null/inferredProject1*
Info 67   [15:33:21.090] Format host information updated
Info 68   [15:33:22.736] Format host information updated
Info 69   [15:33:23.004] Format host information updated
Info 70   [15:33:26.865] Format host information updated
Info 71   [15:35:50.748] Format host information updated
Info 72   [15:35:51.840] Format host information updated
Info 73   [15:35:51.971] Format host information updated
Info 74   [15:35:52.048] Format host information updated
Info 75   [15:35:52.228] Format host information updated
Info 76   [15:35:52.391] Format host information updated
Info 77   [15:35:52.482] Format host information updated
Info 78   [15:35:52.630] Format host information updated
Info 79   [15:35:52.871] Format host information updated
Info 80   [15:35:52.927] Format host information updated
Info 81   [15:36:11.594] Format host information updated
Info 82   [15:36:11.759] Format host information updated
Info 83   [15:36:11.933] Format host information updated
Info 84   [15:36:11.990] Format host information updated
Info 85   [15:36:12.186] Format host information updated
Info 86   [15:36:12.244] Format host information updated
Info 87   [15:36:12.438] Format host information updated
Info 88   [15:36:12.594] Format host information updated
Info 89   [15:36:12.770] Format host information updated
Info 90   [15:36:12.861] Format host information updated
Info 91   [15:36:13.115] Format host information updated
Info 92   [15:36:13.347] Format host information updated
Info 93   [15:36:13.448] Format host information updated
Info 94   [15:36:13.610] Format host information updated
Info 95   [15:36:13.677] Format host information updated
Info 96   [15:36:18.015] Format host information updated
Info 97   [15:36:18.091] Format host information updated
Info 98   [15:36:18.307] Format host information updated
Info 99   [15:36:18.397] Format host information updated
Info 100  [15:36:18.456] Format host information updated
Info 101  [15:36:18.785] Format host information updated
Info 102  [15:36:18.905] Format host information updated
Info 103  [15:36:19.042] Format host information updated
Info 104  [15:36:19.183] Format host information updated
Info 105  [15:36:19.243] Format host information updated
Info 106  [15:36:19.431] Format host information updated
Info 107  [15:36:19.640] Format host information updated
Info 108  [15:36:19.773] Format host information updated
Info 109  [15:36:19.831] Format host information updated
Info 110  [15:36:19.971] Format host information updated
Info 111  [15:36:20.086] Format host information updated
Info 112  [15:36:20.153] Format host information updated
Info 113  [15:36:20.596] Format host information updated
Info 114  [15:36:20.727] Format host information updated
Info 115  [15:36:20.783] Format host information updated
Info 116  [15:36:21.265] Format host information updated
Info 117  [15:36:21.326] Format host information updated
Info 118  [15:36:21.475] Format host information updated
Info 119  [15:36:21.559] Format host information updated
Info 120  [15:36:22.365] Format host information updated
Info 121  [15:36:22.365] Format host information updated
Info 122  [15:36:22.365] Format host information updated
Info 123  [15:36:22.366] Format host information updated
Info 124  [15:36:22.663] Format host information updated
Info 125  [15:36:22.841] Format host information updated
Info 126  [15:36:22.964] Format host information updated
Info 127  [15:36:23.076] Format host information updated
Info 128  [15:36:23.201] Format host information updated
Info 129  [15:36:23.318] Format host information updated
Info 130  [15:36:27.967] Format host information updated
Info 131  [15:36:28.080] Format host information updated
Info 132  [15:36:28.150] Format host information updated
Info 133  [15:36:28.213] Format host information updated
Info 134  [15:36:28.328] Format host information updated
Info 135  [15:36:28.532] Format host information updated
Info 136  [15:36:30.544] Format host information updated
Info 137  [15:36:30.704] Format host information updated
Info 138  [15:36:31.036] Format host information updated
Info 139  [15:36:31.195] Format host information updated
Info 140  [15:36:31.534] Format host information updated
Info 141  [15:36:31.595] Format host information updated
Info 142  [15:36:32.127] Format host information updated
Info 143  [15:36:32.274] Format host information updated
Info 144  [15:36:32.413] Format host information updated
Info 145  [15:36:32.558] Format host information updated
Info 146  [15:36:33.123] Format host information updated
Info 147  [15:36:41.156] Format host information updated
Info 148  [15:36:41.949] Format host information updated
Info 149  [15:36:42.906] Format host information updated
Info 150  [15:36:43.781] Format host information updated
Info 151  [15:36:44.118] Format host information updated
Info 152  [15:36:44.377] Format host information updated
Info 153  [15:36:44.534] Format host information updated
