Info 0    [09:51:55.112] Starting TS Server
Info 1    [09:51:55.114] Version: 5.2.2
Info 2    [09:51:55.114] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/bd69dbe83ef91b1df71058adaf77ee4f/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-iUru63/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [09:51:55.114] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [09:51:55.114] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [09:51:55.120] Format host information updated
Info 6    [09:51:55.124] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [09:51:55.434] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 309.81792900001165ms
Info 8    [09:51:55.434] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [09:51:55.434] 	Files (8)

Info 10   [09:51:55.434] -----------------------------------------------
Info 11   [09:51:55.435] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [09:51:55.435] 	Files (8)

Info 11   [09:51:55.435] -----------------------------------------------
Info 11   [09:51:55.435] Open files: 
Info 11   [09:51:55.435] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [09:51:55.435] 		Projects: /dev/null/inferredProject1*
Info 11   [09:51:55.436] Format host information updated
Info 12   [09:51:56.813] Format host information updated
Info 13   [09:51:57.111] Format host information updated
Info 14   [09:51:58.161] Format host information updated
Info 15   [09:52:00.173] Format host information updated
Info 16   [09:52:00.395] Format host information updated
Info 17   [09:52:00.490] Format host information updated
Info 18   [09:52:00.607] Format host information updated
Info 19   [09:52:00.779] Format host information updated
Info 20   [09:52:00.910] Format host information updated
Info 21   [09:52:00.969] Format host information updated
Info 22   [09:52:01.100] Format host information updated
Info 23   [09:52:01.189] Format host information updated
Info 24   [09:52:01.365] Format host information updated
Info 25   [09:52:01.476] Format host information updated
Info 26   [09:52:01.605] Format host information updated
Info 27   [09:52:01.668] Format host information updated
Info 28   [11:31:08.892] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [11:31:08.898] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 6.079261000268161ms
Info 30   [11:31:08.898] Project '/dev/null/inferredProject1*' (Inferred)
Info 31   [11:31:08.898] 	Files (9)

Info 32   [11:31:08.898] -----------------------------------------------
Info 33   [11:31:08.898] Project '/dev/null/inferredProject1*' (Inferred)
Info 33   [11:31:08.898] 	Files (9)

Info 33   [11:31:08.898] -----------------------------------------------
Info 33   [11:31:08.898] Open files: 
