Info 0    [15:47:11.272] Starting TS Server
Info 1    [15:47:11.273] Version: 5.2.2
Info 2    [15:47:11.273] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/f7fa116c91e1de80e85b2f6fb30f92f5/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-lRaSzA/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [15:47:11.273] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [15:47:11.273] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [15:47:11.277] Format host information updated
Info 6    [15:47:11.281] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [15:47:11.621] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 339.6748110000044ms
Info 8    [15:47:11.621] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [15:47:11.621] 	Files (8)

Info 10   [15:47:11.621] -----------------------------------------------
Info 11   [15:47:11.622] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [15:47:11.622] 	Files (8)

Info 11   [15:47:11.622] -----------------------------------------------
Info 11   [15:47:11.622] Open files: 
Info 11   [15:47:11.622] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Page.Emulate.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [15:47:11.622] 		Projects: /dev/null/inferredProject1*
Info 11   [15:47:11.623] Format host information updated
Info 12   [15:47:12.309] Format host information updated
Info 13   [15:47:12.445] Format host information updated
Info 14   [15:47:12.593] Format host information updated
Info 15   [15:47:12.707] Format host information updated
Info 16   [15:47:12.824] Format host information updated
Info 17   [15:47:12.960] Format host information updated
Info 18   [15:57:32.181] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [15:57:32.191] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 10.115274000912905ms
Info 20   [15:57:32.191] Project '/dev/null/inferredProject1*' (Inferred)
Info 21   [15:57:32.191] 	Files (9)

Info 22   [15:57:32.191] -----------------------------------------------
