Info 0    [13:08:55.695] Starting TS Server
Info 1    [13:08:55.697] Version: 5.2.2
Info 2    [13:08:55.697] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/144513a7e5133ea4e93602cf929910b7/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-xUPHOL/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [13:08:55.697] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [13:08:55.697] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [13:08:55.703] Format host information updated
Info 6    [13:08:55.707] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [13:08:56.009] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 301.5569300055504ms
Info 8    [13:08:56.009] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [13:08:56.009] 	Files (8)

Info 10   [13:08:56.009] -----------------------------------------------
Info 11   [13:08:56.009] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [13:08:56.009] 	Files (8)

Info 11   [13:08:56.009] -----------------------------------------------
Info 11   [13:08:56.009] Open files: 
Info 11   [13:08:56.009] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [13:08:56.009] 		Projects: /dev/null/inferredProject1*
Info 11   [13:08:56.268] Format host information updated
Info 12   [13:08:56.683] Format host information updated
Info 13   [13:08:57.406] Format host information updated
Info 14   [13:08:57.529] Format host information updated
Info 15   [13:08:57.614] Format host information updated
Info 16   [13:08:57.701] Format host information updated
Info 17   [13:08:57.797] Format host information updated
Info 18   [13:08:58.048] Format host information updated
Info 19   [13:08:58.150] Format host information updated
Info 20   [13:08:58.211] Format host information updated
Info 21   [13:08:58.335] Format host information updated
Info 22   [13:08:58.400] Format host information updated
Info 23   [13:08:58.537] Format host information updated
Info 24   [13:08:58.934] Format host information updated
Info 25   [13:08:59.098] Format host information updated
Info 26   [13:08:59.219] Format host information updated
Info 27   [13:08:59.375] Format host information updated
Info 28   [13:08:59.503] Format host information updated
Info 29   [13:08:59.777] Format host information updated
Info 30   [13:08:59.998] Format host information updated
Info 31   [13:09:00.136] Format host information updated
Info 32   [13:09:00.223] Format host information updated
Info 33   [13:09:00.440] Format host information updated
Info 34   [13:09:00.501] Format host information updated
Info 35   [13:09:00.558] Format host information updated
Info 36   [13:09:00.743] Format host information updated
Info 37   [13:09:01.056] Format host information updated
Info 38   [13:09:01.446] Format host information updated
Info 39   [13:10:23.598] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [13:10:23.605] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true structureIsReused:: Not Elapsed: 7.466145008802414ms
Info 41   [13:10:23.605] Project '/dev/null/inferredProject1*' (Inferred)
Info 42   [13:10:23.605] 	Files (9)

Info 43   [13:10:23.605] -----------------------------------------------
Info 44   [13:10:23.606] Project '/dev/null/inferredProject1*' (Inferred)
Info 44   [13:10:23.606] 	Files (9)

Info 44   [13:10:23.606] -----------------------------------------------
Info 44   [13:10:23.606] Open files: 
Info 44   [13:10:23.606] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 44   [13:10:23.606] 		Projects: /dev/null/inferredProject1*
Info 44   [13:10:23.606] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Box.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 44   [13:10:23.606] 		Projects: /dev/null/inferredProject1*
Info 44   [13:10:23.883] Format host information updated
Info 45   [13:11:10.668] Project '/dev/null/inferredProject1*' (Inferred)
Info 45   [13:11:10.668] 	Files (9)

Info 45   [13:11:10.668] -----------------------------------------------
Info 45   [13:11:10.668] Open files: 
Info 45   [13:11:10.668] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Handle.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 45   [13:11:10.668] 		Projects: /dev/null/inferredProject1*
Info 45   [13:36:24.893] Format host information updated
Info 46   [13:36:27.547] Format host information updated
Info 47   [13:36:27.648] Format host information updated
