Info 0    [12:26:08.950] Starting TS Server
Info 1    [12:26:08.953] Version: 5.2.2
Info 2    [12:26:08.953] Arguments: /home/orion/.asdf/installs/node/20.2.0/bin/node /home/orion/.asdf/installs/node/20.2.0/lib/node_modules/typescript/lib/tsserver.js --serverMode partialSemantic --useInferredProjectPerProjectRoot --disableAutomaticTypingAcquisition --cancellationPipeName /tmp/09ba127615e297da20434c7b8c8b3396/tscancellation* --logVerbosity normal --logFile /home/orion/src/purescript-puppeteer/.log/tsserver-log-xe3xMN/tsserver.log --locale en --validateDefaultNpmLocation --useNodeIpc
Info 3    [12:26:08.953] Platform: linux NodeVersion: v20.2.0 CaseSensitive: true
Info 4    [12:26:08.953] ServerMode: 1 hasUnknownServerMode: undefined
Info 5    [12:26:08.958] Format host information updated
Info 6    [12:26:08.963] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [12:26:09.279] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 316.18004700000165ms
Info 8    [12:26:09.279] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [12:26:09.280] 	Files (8)

Info 10   [12:26:09.280] -----------------------------------------------
Info 11   [12:26:09.280] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [12:26:09.280] 	Files (8)

Info 11   [12:26:09.280] -----------------------------------------------
Info 11   [12:26:09.280] Open files: 
Info 11   [12:26:09.280] 	FileName: /home/orion/src/purescript-puppeteer/src/Puppeteer.Page.Event.js ProjectRootPath: /home/orion/src/purescript-puppeteer
Info 11   [12:26:09.280] 		Projects: /dev/null/inferredProject1*
Info 11   [12:26:09.280] Format host information updated
Info 12   [12:26:09.363] Format host information updated
Info 13   [12:26:09.763] Format host information updated
Info 14   [12:26:09.937] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [12:26:09.941] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 3.6208649999753106ms
Info 16   [12:26:09.941] Different program with same set of files
Info 17   [12:26:09.961] getCompletionData: Get current token: 0.01802200000383891
Info 18   [12:26:09.961] getCompletionData: Is inside comment: 0.08777000001282431
Info 19   [12:26:09.961] getCompletionData: Get previous token: 0.08159899999736808
Info 20   [12:26:09.965] getCompletionData: Semantic work: 3.5177260000200476
Info 21   [12:26:09.995] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 29.541689000005135
Info 22   [12:26:10.001] Format host information updated
Info 23   [12:26:10.153] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
